Job Title,Salary Estimate,Rating,Company Name,Location,Size,Sector,Revenue
Senior Big Data Engineer,$93K-$103K (Glassdoor est.),3.6,"Charles Schwab Corporation
3.6","Westlake, TX",10000+ employees,Finance,$5 to $10 billion (USD)
Senior Cloud Data Engineer,$93K-$103K (Glassdoor est.),2.2,"Cash Store
2.2","Irving, TX",1001 to 5000 employees,Finance,Unknown / Non-Applicable
Senior Cloud Data Engineer,$93K-$103K (Glassdoor est.),2.5,"Cottonwood Financial
2.5","Irving, TX",1001 to 5000 employees,Finance,Unknown / Non-Applicable
Senior Big Data Engineer,$93K-$103K (Glassdoor est.),3.8,"HMS Holdings
3.8","Irving, TX",1001 to 5000 employees,Health Care,$500 million to $1 billion (USD)
Senior Big Data Engineer,$93K-$103K (Glassdoor est.),3.8,"IDC Technologies
3.8","Irving, TX",1001 to 5000 employees,Information Technology,$100 to $500 million (USD)
Senior Big Data Engineer,$93K-$103K (Glassdoor est.),2.5,"Health Management Systems, Inc.
2.5","Irving, TX",201 to 500 employees,Business Services,Unknown / Non-Applicable
Irving Data Science Tutor Jobs,$93K-$103K (Glassdoor est.),4.2,"Varsity Tutors
4.2","Irving, TX",201 to 500 employees,Information Technology,Unknown / Non-Applicable
Azure Data Engineer,$93K-$103K (Glassdoor est.),3.5,"Tek Leaders
3.5","Irving, TX",501 to 1000 employees,Information Technology,$50 to $100 million (USD)
Lead Clinical Laboratory Scientist (CLS),$93K-$149K (Glassdoor est.),,BillionToOne,"West Menlo Park, CA",1 to 50 employees,Biotech & Pharmaceuticals,Unknown / Non-Applicable
Senior Data Scientist,$93K-$149K (Glassdoor est.),4.3,"Entefy
4.3","Palo Alto, CA",1 to 50 employees,Information Technology,Unknown / Non-Applicable
Machine Learning Engineer,$93K-$149K (Glassdoor est.),4.3,"Entefy
4.3","Palo Alto, CA",1 to 50 employees,Information Technology,Unknown / Non-Applicable
Data Scientist,$93K-$149K (Glassdoor est.),3.6,"eBay
3.6","San Jose, CA",10000+ employees,Information Technology,$10+ billion (USD)
Data Scientist,$93K-$149K (Glassdoor est.),3.7,"Jabil Circuit
3.7","San Jose, CA",10000+ employees,Manufacturing,$10+ billion (USD)
Principal Data Scientist,$93K-$149K (Glassdoor est.),3.8,"Northrop Grumman
3.8","San Jose, CA",10000+ employees,Aerospace & Defense,$10+ billion (USD)
Principal Data Scientist / Sr. Principal Data Scientist,$93K-$149K (Glassdoor est.),3.8,"Northrop Grumman
3.8","San Jose, CA",10000+ employees,Aerospace & Defense,$10+ billion (USD)
Data Scientist,$93K-$149K (Glassdoor est.),3.9,"PayPal
3.9","San Jose, CA",10000+ employees,Information Technology,$10+ billion (USD)
Data Scientist,$93K-$149K (Glassdoor est.),3.6,"Western Digital
3.6","San Jose, CA",10000+ employees,Information Technology,$10+ billion (USD)
